Date,Open,High,Low,Close,Volume,Market Cap
"Feb 06, 2017",1028.40,1044.64,1028.16,1038.15,"111,762,000","16,605,400,000"
"Feb 05, 2017",1043.52,1043.63,1022.37,1027.34,"114,208,000","16,847,400,000"
"Feb 04, 2017",1031.33,1045.90,1015.16,1042.90,"155,064,000","16,648,800,000"
"Feb 03, 2017",1011.46,1033.87,1008.79,1029.91,"201,278,000","16,326,100,000"
"Feb 02, 2017",990.00,1013.52,983.22,1011.80,"145,821,000","15,977,800,000"
"Feb 01, 2017",970.94,989.11,970.74,989.02,"150,110,000","15,667,900,000"
"Jan 31, 2017",920.96,972.02,920.96,970.40,"164,582,000","14,859,700,000"
"Jan 30, 2017",920.15,923.05,919.47,920.38,"78,227,300","14,844,900,000"
"Jan 29, 2017",922.07,923.42,919.15,919.50,"60,851,700","14,874,000,000"
"Jan 28, 2017",919.81,923.91,919.81,921.59,"68,979,600","14,835,800,000"
"Jan 27, 2017",918.36,923.22,915.85,919.75,"125,594,000","14,810,400,000"
"Jan 26, 2017",902.39,919.33,902.22,917.59,"131,958,000","14,551,200,000"
"Jan 25, 2017",891.92,903.25,891.69,901.54,"120,831,000","14,380,700,000"
"Jan 24, 2017",910.68,924.14,892.29,892.69,"111,349,000","14,681,400,000"
"Jan 23, 2017",925.50,928.27,916.74,921.01,"73,588,600","14,918,800,000"
"Jan 22, 2017",922.21,937.52,897.56,924.67,"116,573,000","14,863,600,000"
"Jan 21, 2017",895.55,927.37,895.53,921.79,"111,158,000","14,432,000,000"
"Jan 20, 2017",898.17,899.40,887.01,895.03,"86,728,400","14,472,100,000"
"Jan 19, 2017",888.34,904.61,884.34,899.07,"105,625,000","14,311,700,000"
"Jan 18, 2017",909.37,917.50,858.30,886.62,"225,677,000","14,648,900,000"
"Jan 17, 2017",830.95,910.56,830.80,907.94,"155,095,000","13,383,900,000"
"Jan 16, 2017",821.78,834.53,820.27,831.53,"82,755,200","13,234,600,000"
"Jan 15, 2017",818.14,823.31,812.87,821.80,"71,013,600","13,174,300,000"
"Jan 14, 2017",825.14,835.09,812.46,818.41,"93,063,300","13,285,200,000"
"Jan 13, 2017",803.74,829.00,780.00,823.98,"168,968,000","12,939,100,000"
"Jan 12, 2017",775.18,826.25,755.76,804.83,"222,326,000","12,477,600,000"
"Jan 11, 2017",908.12,919.45,762.76,777.76,"310,929,000","14,615,700,000"
"Jan 10, 2017",902.44,914.87,901.06,907.68,"115,808,000","14,522,600,000"
"Jan 09, 2017",913.24,913.69,879.81,902.83,"141,877,000","14,694,900,000"
"Jan 08, 2017",908.17,942.72,887.25,911.20,"158,715,000","14,611,400,000"
"Jan 07, 2017",903.49,908.59,823.56,908.59,"279,550,000","14,534,400,000"
"Jan 06, 2017",1014.24,1046.81,883.94,902.20,"351,876,000","16,314,100,000"
"Jan 05, 2017",1156.73,1191.10,910.42,1013.38,"510,199,000","18,604,000,000"
"Jan 04, 2017",1044.40,1159.42,1044.40,1154.73,"344,946,000","16,795,400,000"
"Jan 03, 2017",1021.60,1044.08,1021.60,1043.84,"185,168,000","16,426,600,000"
"Jan 02, 2017",998.62,1031.39,996.70,1021.75,"222,185,000","16,055,100,000"
"Jan 01, 2017",963.66,1003.08,958.70,998.33,"147,775,000","15,491,200,000"
"Dec 31, 2016",960.63,963.74,947.24,963.74,"99,135,100","15,440,700,000"
"Dec 30, 2016",972.53,972.53,934.83,961.24,"187,474,000","15,630,200,000"
